CustomerID,FirstName,City,Country,CustomerType
C0001,Arjun,Kolkata,India,Business
C0002,Meera,Mumbai,India,Backpacker
C0003,Karan,Kolkata,India,Business
C0004,Vikram,Bengaluru,India,Family
C0005,Vikram,Kolkata,India,Business
C0006,Rohan,Kolkata,India,Business
C0007,Arjun,Kolkata,India,Backpacker
C0008,Karan,Pune,India,Backpacker
C0009,Rahul,Hyderabad,India,Business
C0010,Arjun,Pune,India,Backpacker
C0011,Ananya,Delhi,India,Business
C0012,Isha,Kolkata,India,Family
C0013,Meera,Chennai,India,Backpacker
C0014,Meera,Hyderabad,India,Business
C0015,Meera,Chennai,India,Family
C0016,Meera,Chennai,India,Business
C0017,Ananya,Bengaluru,India,Leisure
C0018,Priya,Mumbai,India,Leisure
C0019,Rohan,Mumbai,India,Business
C0020,Vikram,Bengaluru,India,Backpacker
C0021,Ananya,Hyderabad,India,Leisure
C0022,Sneha,Pune,India,Business
C0023,Priya,Pune,India,Family
C0024,Isha,Hyderabad,India,Leisure
C0025,Meera,Kolkata,India,Family
C0026,Karan,Chennai,India,Business
C0027,Vikram,Bengaluru,India,Backpacker
C0028,Rohan,Kolkata,India,Family
C0029,Ananya,Chennai,India,Family
C0030,Vikram,Pune,India,Leisure
C0031,Vikram,Chennai,India,Business
C0032,Rahul,Chennai,India,Backpacker
C0033,Arjun,Bengaluru,India,Leisure
C0034,Ananya,Chennai,India,Backpacker
C0035,Rohan,Kolkata,India,Business
C0036,Arjun,Delhi,India,Family
C0037,Rohan,Chennai,India,Family
C0038,Rohan,Bengaluru,India,Business
C0039,Rahul,Delhi,India,Business
C0040,Karan,Hyderabad,India,Family
C0041,Priya,Ahmedabad,India,Leisure
C0042,Meera,Mumbai,India,Family
C0043,Meera,Delhi,India,Leisure
C0044,Sneha,Hyderabad,India,Family
C0045,Arjun,Ahmedabad,India,Family
C0046,Isha,Kolkata,India,Leisure
C0047,Vikram,Bengaluru,India,Backpacker
C0048,Rohan,Mumbai,India,Business
C0049,Karan,Kolkata,India,Backpacker
C0050,Meera,Bengaluru,India,Leisure
C0051,Meera,Kolkata,India,Leisure
C0052,Priya,Delhi,India,Business
C0053,Sneha,Ahmedabad,India,Leisure
C0054,Vikram,Delhi,India,Business
C0055,Vikram,Hyderabad,India,Family
C0056,Arjun,Pune,India,Leisure
C0057,Ananya,Mumbai,India,Family
C0058,Priya,Chennai,India,Leisure
C0059,Meera,Chennai,India,Leisure
C0060,Karan,Kolkata,India,Family
C0061,Isha,Ahmedabad,India,Backpacker
C0062,Meera,Pune,India,Leisure
C0063,Sneha,Hyderabad,India,Business
C0064,Isha,Hyderabad,India,Backpacker
C0065,Vikram,Hyderabad,India,Backpacker
C0066,Sneha,Kolkata,India,Family
C0067,Isha,Delhi,India,Business
C0068,Sneha,Mumbai,India,Business
C0069,Arjun,Delhi,India,Family
C0070,Vikram,Bengaluru,India,Family
C0071,Meera,Bengaluru,India,Business
C0072,Priya,Bengaluru,India,Leisure
C0073,Vikram,Kolkata,India,Leisure
C0074,Priya,Pune,India,Backpacker
C0075,Karan,Pune,India,Business
C0076,Vikram,Hyderabad,India,Business
C0077,Sneha,Pune,India,Business
C0078,Rahul,Mumbai,India,Backpacker
C0079,Ananya,Ahmedabad,India,Leisure
C0080,Karan,Chennai,India,Leisure
C0081,Isha,Ahmedabad,India,Business
C0082,Vikram,Mumbai,India,Business
C0083,Priya,Hyderabad,India,Family
C0084,Rohan,Pune,India,Business
C0085,Karan,Hyderabad,India,Business
C0086,Meera,Hyderabad,India,Backpacker
C0087,Arjun,Mumbai,India,Leisure
C0088,Sneha,Hyderabad,India,Family
C0089,Meera,Mumbai,India,Family
C0090,Rohan,Delhi,India,Business
C0091,Vikram,Pune,India,Backpacker
C0092,Rohan,Pune,India,Business
C0093,Rohan,Chennai,India,Backpacker
C0094,Sneha,Delhi,India,Business
C0095,Rohan,Ahmedabad,India,Family
C0096,Rahul,Bengaluru,India,Family
C0097,Rahul,Delhi,India,Backpacker
C0098,Karan,Bengaluru,India,Business
C0099,Karan,Delhi,India,Business
C0100,Priya,Ahmedabad,India,Leisure
